line_id,zone_id,stop_id,stop_sequence,max_dwelling_time,dwell_time_allowed
L01O,Z1,S1_1,1,10,True
L01O,Z2,S2_3,2,10,True
L02O,Z1,S1_2,1,10,True
L02O,Z2,S2_4,2,10,True
L03O,Z2,S2_1,1,10,True
L03O,Z3,S3_3,2,10,True
L04O,Z2,S2_2,1,10,True
L04O,Z3,S3_4,2,10,True
L05O,Z3,S3_1,1,10,True
L05O,Z4,S4_3,2,10,True
L06O,Z3,S3_2,1,10,True
L06O,Z4,S4_4,2,10,True
L07O,Z4,S4_1,1,10,True
L07O,Z5,S5_3,2,10,True
L08O,Z4,S4_2,1,10,True
L08O,Z5,S5_4,2,10,True
L09O,Z5,S5_1,1,10,True
L09O,Z1,S1_3,2,10,True
L10O,Z5,S5_2,1,10,True
L10O,Z1,S1_4,2,10,True
