line_i,line_j,zone_id,min_sync_window,max_sync_window,sync_weight,walking_time_between,sync_priority
L01O,L02O,Z2,0,5,10,2,high
L02O,L03O,Z3,0,5,10,2,high
L03O,L04O,Z4,0,5,10,2,high
L04O,L05O,Z5,0,5,10,2,high
L05O,L06O,Z6,0,5,10,2,high
L06O,L07O,Z7,0,5,10,2,high
L07O,L08O,Z8,0,5,10,2,high
L08O,L09O,Z9,0,5,10,2,high
L09O,L10O,Z10,0,5,10,2,high
L10O,L11O,Z11,0,5,10,2,high
L11O,L12O,Z12,0,5,10,2,high
L12O,L13O,Z13,0,5,10,2,high
L13O,L14O,Z14,0,5,10,2,high
L14O,L15O,Z15,0,5,10,2,high
L15O,L16O,Z16,0,5,10,2,high
L16O,L17O,Z17,0,5,10,2,high
L17O,L18O,Z18,0,5,10,2,high
L18O,L19O,Z19,0,5,10,2,high
L19O,L20O,Z20,0,5,10,2,high
L20O,L21O,Z21,0,5,10,2,high
L21O,L22O,Z22,0,5,10,2,high
L22O,L23O,Z23,0,5,10,2,high
L23O,L24O,Z24,0,5,10,2,high
L24O,L01O,Z1,0,5,10,2,high
