line_id,from_stop_id,to_stop_id,travel_time_min,is_transfer_segment
L01O,DEPOT,S1_A,5,False
L01O,S1_A,S2_B,20,False
L01O,S2_B,DEPOT,5,False
L02O,DEPOT,S2_A,5,False
L02O,S2_A,S3_B,20,False
L02O,S3_B,DEPOT,5,False
L03O,DEPOT,S3_A,5,False
L03O,S3_A,S4_B,20,False
L03O,S4_B,DEPOT,5,False
L04O,DEPOT,S4_A,5,False
L04O,S4_A,S5_B,20,False
L04O,S5_B,DEPOT,5,False
L05O,DEPOT,S5_A,5,False
L05O,S5_A,S6_B,20,False
L05O,S6_B,DEPOT,5,False
L06O,DEPOT,S6_A,5,False
L06O,S6_A,S7_B,20,False
L06O,S7_B,DEPOT,5,False
L07O,DEPOT,S7_A,5,False
L07O,S7_A,S8_B,20,False
L07O,S8_B,DEPOT,5,False
L08O,DEPOT,S8_A,5,False
L08O,S8_A,S9_B,20,False
L08O,S9_B,DEPOT,5,False
L09O,DEPOT,S9_A,5,False
L09O,S9_A,S10_B,20,False
L09O,S10_B,DEPOT,5,False
L10O,DEPOT,S10_A,5,False
L10O,S10_A,S11_B,20,False
L10O,S11_B,DEPOT,5,False
L11O,DEPOT,S11_A,5,False
L11O,S11_A,S12_B,20,False
L11O,S12_B,DEPOT,5,False
L12O,DEPOT,S12_A,5,False
L12O,S12_A,S13_B,20,False
L12O,S13_B,DEPOT,5,False
L13O,DEPOT,S13_A,5,False
L13O,S13_A,S14_B,20,False
L13O,S14_B,DEPOT,5,False
L14O,DEPOT,S14_A,5,False
L14O,S14_A,S15_B,20,False
L14O,S15_B,DEPOT,5,False
L15O,DEPOT,S15_A,5,False
L15O,S15_A,S16_B,20,False
L15O,S16_B,DEPOT,5,False
L16O,DEPOT,S16_A,5,False
L16O,S16_A,S17_B,20,False
L16O,S17_B,DEPOT,5,False
L17O,DEPOT,S17_A,5,False
L17O,S17_A,S18_B,20,False
L17O,S18_B,DEPOT,5,False
L18O,DEPOT,S18_A,5,False
L18O,S18_A,S19_B,20,False
L18O,S19_B,DEPOT,5,False
L19O,DEPOT,S19_A,5,False
L19O,S19_A,S20_B,20,False
L19O,S20_B,DEPOT,5,False
L20O,DEPOT,S20_A,5,False
L20O,S20_A,S21_B,20,False
L20O,S21_B,DEPOT,5,False
L21O,DEPOT,S21_A,5,False
L21O,S21_A,S22_B,20,False
L21O,S22_B,DEPOT,5,False
L22O,DEPOT,S22_A,5,False
L22O,S22_A,S23_B,20,False
L22O,S23_B,DEPOT,5,False
L23O,DEPOT,S23_A,5,False
L23O,S23_A,S24_B,20,False
L23O,S24_B,DEPOT,5,False
L24O,DEPOT,S24_A,5,False
L24O,S24_A,S1_B,20,False
L24O,S1_B,DEPOT,5,False
